test_angle,phase_idx,Width,Exp
45,0,29.6554339373016,Naive
45,1,24.3501712065628,Naive
45,2,29.6721728306548,Naive
45,3,31.4456409829102,Naive
45,4,24.0397796824358,Naive
45,5,28.0358102820899,Naive
45,6,29.1426636080825,Naive
45,7,24.4986374883457,Naive
45,8,31.4456409829102,Naive
45,9,25.7363043882167,Naive
45,0,20.2076133206588,Task
45,1,19.2232078972804,Task
45,2,20.2513911929228,Task
45,3,20.7277347388181,Task
45,4,19.6010509760413,Task
45,5,20.1264057788056,Task
45,6,20.4691881245168,Task
45,7,19.279513160979,Task
45,8,20.7277347388181,Task
45,9,19.9864536706775,Task
