,Animal,Day,Experimental condition,Stimulus class,Stimulus orientation,Frame,Width
0,Naive,All,Tuning,,0,0,43
1,Naive,All,Tuning,,0,1,26
2,Naive,All,Tuning,,0,2,26
3,Naive,All,Tuning,,0,3,34
4,Naive,All,Tuning,,0,4,33
5,Naive,All,Tuning,,0,5,37
6,Naive,All,Tuning,,0,6,41
7,Naive,All,Tuning,,0,7,40
8,Naive,All,Tuning,,0,8,46
9,Naive,All,Tuning,,0,9,36
10,Naive,All,Tuning,,0,10,36
11,Naive,All,Tuning,,0,11,37
12,Naive,All,Tuning,,0,12,41
13,Naive,All,Tuning,,0,13,46
14,Naive,All,Tuning,,0,14,40
15,Naive,All,Tuning,,0,15,42
16,Naive,All,Tuning,,0,16,40
17,Naive,All,Tuning,,0,17,41
18,Naive,All,Tuning,,0,18,35
19,Naive,All,Tuning,,0,19,32
20,Naive,All,Tuning,,0,20,43
21,Naive,All,Tuning,,0,21,38
22,Naive,All,Tuning,,0,22,45
23,Naive,All,Tuning,,0,23,41
24,Naive,All,Tuning,,0,24,41
25,Naive,All,Tuning,,0,25,31
26,Naive,All,Tuning,,0,26,68
27,Naive,All,Tuning,,0,27,36
28,Naive,All,Tuning,,0,28,44
29,Naive,All,Tuning,,0,29,40
30,Naive,All,Tuning,,0,30,34
31,Naive,All,Tuning,,30,0,54
32,Naive,All,Tuning,,30,1,56
33,Naive,All,Tuning,,30,2,58
34,Naive,All,Tuning,,30,3,59
35,Naive,All,Tuning,,30,4,57
36,Naive,All,Tuning,,30,5,59
37,Naive,All,Tuning,,30,6,61
38,Naive,All,Tuning,,30,7,60
39,Naive,All,Tuning,,30,8,60
40,Naive,All,Tuning,,30,9,60
41,Naive,All,Tuning,,30,10,61
42,Naive,All,Tuning,,30,11,65
43,Naive,All,Tuning,,30,12,62
44,Naive,All,Tuning,,30,13,62
45,Naive,All,Tuning,,30,14,63
46,Naive,All,Tuning,,30,15,60
47,Naive,All,Tuning,,30,16,60
48,Naive,All,Tuning,,30,17,63
49,Naive,All,Tuning,,30,18,58
